country,latitude,longitude,continent_name,country_code,total_revenues_1995,total_revenues_1996,total_revenues_1997,total_revenues_1998,total_revenues_1999,total_revenues_2000,total_revenues_2001,total_revenues_2002,total_revenues_2003,total_revenues_2004,total_revenues_2005,total_revenues_2006,total_revenues_2007,total_revenues_2008,total_revenues_2009,total_revenues_2010,total_revenues_2011,total_revenues_2012,total_revenues_2013,total_revenues_2014,total_revenues_2015,total_revenues_2016,total_revenues_2017,total_revenues_2018,total_revenues_2019
Albania,41.31666667,19.816667000000002,Europe,ALB,70000000.0,94000000.0,34000000.0,60000000.0,218000000.0,398000000.0,451000000.0,492000000.0,537000000.0,756000000.0,880000000.0,1057000000.0,1479000000.0,1850000000.0,2013000000.0,1778000000.0,1833000000.0,1623000000.0,1670000000.0,1849000000.0,1613000000.0,1821000000.0,2050000000.0,2306000000.0,2458000000.0
Armenia,40.16666667,44.5,Europe,ARM,14000000.0,18000000.0,33000000.0,41000000.0,47000000.0,52000000.0,81000000.0,81000000.0,90000000.0,189000000.0,243000000.0,406000000.0,522000000.0,564000000.0,570000000.0,694000000.0,762000000.0,853000000.0,905000000.0,994000000.0,956000000.0,1037000000.0,1224000000.0,1358000000.0,1553000000.0
Azerbaijan,40.38333333,49.866667,Europe,AZE,87000000.0,57000000.0,176000000.0,143000000.0,93000000.0,68000000.0,57000000.0,63000000.0,70000000.0,79000000.0,100000000.0,201000000.0,317000000.0,382000000.0,545000000.0,792000000.0,1500000000.0,2634000000.0,2618000000.0,2713000000.0,2535000000.0,2855000000.0,3214000000.0,2830000000.0,2004099976.0
Belarus,53.9,27.566667,Europe,BLR,28000000.0,61000000.0,40000000.0,54000000.0,92000000.0,188000000.0,272000000.0,295000000.0,339000000.0,362000000.0,346000000.0,401000000.0,479000000.0,585000000.0,563000000.0,665000000.0,747000000.0,986000000.0,1156000000.0,1230000000.0,1013000000.0,1019000000.0,1124500000.0,1221000000.0,1290000000.0
Bulgaria,42.68333333,23.316667000000002,Europe,BGR,662000000.0,541000000.0,517000000.0,1150000000.0,1184000000.0,1364000000.0,1262000000.0,1392000000.0,2051000000.0,2796000000.0,3063000000.0,3317000000.0,4181000000.0,4852000000.0,4273000000.0,3807000000.0,4297000000.0,3975000000.0,4410000000.0,4518000000.0,3583000000.0,4164000000.0,4678000000.0,5055000000.0,4825000000.0
Cyprus,35.16666667,33.366667,Europe,CYP,2018044189.0,1904723511.0,1850360596.0,1918303589.0,2115000000.0,2137000000.0,2203000000.0,2178000000.0,2325000000.0,2552000000.0,2644000000.0,2692007568.0,3107000000.0,3232000000.0,2476000000.0,2137000000.0,2603000000.0,2603000000.0,2930000000.0,2924000000.0,2525664307.0,2870000000.0,3274000000.0,3449000000.0,3245000000.0
Finland,60.16666667,24.933332999999998,Europe,FIN,2383000000.0,2408000000.0,2358000000.0,2371000000.0,2236000000.0,2035000000.0,2066000000.0,2238000000.0,2679000000.0,2977000000.0,3069000000.0,3515000000.0,4287000000.0,4875000000.0,4072000000.0,4496000000.0,5615000000.0,5418000000.0,5774000000.0,5409000000.0,4011000000.0,4017000000.0,5210000000.0,5763000000.0,5944000000.0
Germany,52.51666667,13.4,Europe,DEU,24053000000.0,23982000000.0,24500000000.0,25806000000.0,25327000000.0,24943000000.0,24182000000.0,26717000000.0,30129000000.0,36417000000.0,40518000000.0,45560000000.0,49320000000.0,53402000000.0,47499000000.0,49116000000.0,53465000000.0,51626000000.0,55486000000.0,58721000000.0,50669000000.0,52234000000.0,55750000000.0,59446000000.0,58201000000.0
Hungary,47.5,19.083333,Europe,HUN,2938000000.0,3589000000.0,3824000000.0,3688000000.0,3622000000.0,3809000000.0,4191000000.0,3774000000.0,4119000000.0,4009000000.0,4761000000.0,4998000000.0,5628000000.0,7533000000.0,7013000000.0,6595000000.0,7239000000.0,6149000000.0,6671000000.0,7483000000.0,6929000000.0,7481000000.0,8448000000.0,9618000000.0,10196000000.0
Moldova,47.0,28.85,Europe,MDA,71000000.0,50000000.0,74000000.0,64000000.0,49000000.0,57000000.0,58000000.0,72000000.0,79000000.0,112000000.0,138000000.0,150000000.0,229000000.0,293000000.0,240000000.0,222000000.0,253000000.0,279000000.0,324000000.0,328000000.0,300000000.0,344000000.0,443000000.0,500000000.0,532000000.0
Norway,59.91666667,10.75,Europe,NOR,2730000000.0,2770000000.0,2570000000.0,2545000000.0,2750000000.0,2521000000.0,2380000000.0,2581000000.0,2989000000.0,3531000000.0,4243000000.0,4289000000.0,5322000000.0,5702000000.0,4949000000.0,5299000000.0,6565000000.0,6784000000.0,7175000000.0,7503000000.0,6370000000.0,6285000000.0,6840000000.0,7096000000.0,6929000000.0
Poland,52.25,21.0,Europe,POL,6927000000.0,8764000000.0,9053000000.0,8321000000.0,6498000000.0,6128000000.0,5121000000.0,4971000000.0,4733000000.0,6521000000.0,7161000000.0,8153000000.0,11729000000.0,12897000000.0,9888000000.0,9875000000.0,11471000000.0,11704000000.0,12242000000.0,12691000000.0,11164000000.0,11922000000.0,13925000000.0,15569000000.0,15712000000.0
Portugal,38.71666667,-9.133333,Europe,PRT,5646000000.0,5572000000.0,5415000000.0,6390000000.0,6047000000.0,6029000000.0,6264000000.0,6643000000.0,7687000000.0,8902000000.0,9038000000.0,10487000000.0,12945000000.0,14081000000.0,12357000000.0,12984000000.0,14911000000.0,14578000000.0,16080000000.0,17577000000.0,16007000000.0,17347000000.0,21586000000.0,24366000000.0,24736000000.0
Romania,44.43333333,26.1,Europe,ROU,689000000.0,670000000.0,603000000.0,351000000.0,306000000.0,394000000.0,419000000.0,400000000.0,523000000.0,607000000.0,1324000000.0,1675000000.0,2073000000.0,2626000000.0,1688000000.0,1631000000.0,2016000000.0,1904000000.0,2307000000.0,2388000000.0,2229000000.0,2474000000.0,3553000000.0,3879000000.0,4240000000.0
Slovakia,48.15,17.116667,Europe,SVK,630000000.0,681000000.0,555000000.0,493000000.0,465000000.0,441000000.0,649000000.0,742000000.0,876000000.0,931000000.0,1282000000.0,1655000000.0,2352000000.0,3096000000.0,2541000000.0,2334000000.0,2515000000.0,2365000000.0,2702000000.0,2642000000.0,2480000000.0,2812000000.0,3024000000.0,3318000000.0,3353000000.0
Slovenia,46.05,14.516667000000002,Europe,SVN,1128000000.0,1280000000.0,1225000000.0,1135000000.0,1011000000.0,1016000000.0,1059000000.0,1152000000.0,1427000000.0,1725000000.0,1894000000.0,2075000000.0,2464000000.0,2955000000.0,2817000000.0,2808000000.0,3048000000.0,2793000000.0,2966000000.0,3052000000.0,2594000000.0,2717000000.0,3057000000.0,3377000000.0,3240000000.0
Switzerland,46.91666667,7.466667,Europe,CHE,11354000000.0,10779000000.0,10036000000.0,10188000000.0,9135000000.0,9058000000.0,9392000000.0,9198000000.0,10427000000.0,11217000000.0,11914000000.0,12961000000.0,14934000000.0,18016000000.0,17023000000.0,17883000000.0,20809000000.0,19564000000.0,20236000000.0,21358000000.0,20140000000.0,19787000000.0,20399000000.0,21294000000.0,21257000000.0
